file	symbol	source_construct	classification	target_translation	evidence	status
toml/decoder.py	_detect_pathlib_path	isinstance(p, pathlib.PurePath) at decoder.py:21	TYPE_NARROWING	_detect_pathlib_path(p: unknown): boolean -- ported 1:1 but body collapses to return false (no pathlib analog in TS; RULEBOOK S2: load() accepts string | string[] only)	definition decoder.py:18-23; sole callers _ispath decoder.py:29 and _getpath decoder.py:36; RULEBOOK S2 io-file-objects row	confirmed
toml/decoder.py	_ispath	isinstance(p, (bytes, basestring)) at decoder.py:27	TYPE_NARROWING	_ispath(p: unknown): p is string via typeof p === 'string' (bytes input dropped; Buffer not accepted per RULEBOOK S2 load() contract)	definition decoder.py:26-29; caller load() decoder.py:132; RULEBOOK S2 load() string|string[] rule	confirmed
toml/decoder.py	CommentValue.dump	isinstance(self.val, self._dict) at decoder.py:84	TYPE_NARROWING	isTable(this.val) plain-object guard (v !== null && typeof v === 'object' && !Array.isArray(v) && not a tz.ts class instance) -- instanceof this._dict is unreliable once dict maps to plain object per RULEBOOK S2 dict row	val created decoder.py:71 (parser-stored parsed value, any TomlValue); narrowing decoder.py:84 picks comment-before vs comment-after; escapes via encoder.py:291 dump_funcs[CommentValue] -> v.dump(self.dump_value)	confirmed
toml/decoder.py	load	def load(f, _dict=dict, decoder=None) at decoder.py:113	OPTIONAL_PARAM	load(f: string | string[], _dict?: DictFactory, decoder?: TomlDecoder): Record<string, TomlValue> -- body fills default: if (decoder === undefined) decoder = new TomlDecoder(_dict)	signature decoder.py:113; None-fill decoder.py:144-145; decoder forwarded to loads decoder.py:134,156; recursive load() call decoder.py:149 also passes decoder through (not a loads forward); RULEBOOK S2 optional-param row	confirmed
toml/decoder.py	load	isinstance(f, list) at decoder.py:135	TYPE_NARROWING	Array.isArray(f) narrows f: string | string[] to string[]; trailing file-descriptor else-branch becomes throw new TypeError(...) + TODO(port) per RULEBOOK S2 io-file row	dispatch chain decoder.py:132 (_ispath -> string), 135 (list), 153-159 (f.read fallback, excised); list elements re-enter load() decoder.py:149	confirmed
toml/decoder.py	loads	def loads(s, _dict=dict, decoder=None) at decoder.py:165	OPTIONAL_PARAM	loads(s: string, _dict?: DictFactory, decoder?: TomlDecoder): Record<string, TomlValue>	signature decoder.py:165; None-fill decoder.py:181-182; callers load() decoder.py:134,156 pass possibly-undefined decoder through	confirmed
toml/decoder.py	loads	if not isinstance(s, basestring) at decoder.py:185	TYPE_NARROWING	keep runtime guard for untyped JS callers: if (typeof s !== 'string') throw new TypeError('Expecting something like a string'); declared param stays s: string	guard decoder.py:185-186; s consumed as string from decoder.py:191 on (original = s; sl = list(s))	confirmed
toml/decoder.py	loads	if not isinstance(s, unicode): s = s.decode('utf8') at decoder.py:188	TYPE_NARROWING	dead Py2 bytes branch -- omit body, keep parity comment; JS strings are always unicode so the decoder.py:185 guard already guarantees string	decoder.py:188-189; Py2 shim decoder.py:9-15 makes unicode = str on Py3 so branch is unreachable there too	confirmed
toml/decoder.py	_load_date	return None at decoder.py:551 (no date separator in val)	NULLABLE_RETURN	_load_date(val: string): TomlDateTime | TomlDate | null (None -> null per RULEBOOK S2; tz.ts classes, not JS Date)	returns date/datetime decoder.py:553-564; null consumed via 'is not None' checks decoder.py:729 and decoder.py:890-892 -- null signals 'not a date, keep parsing as number'	confirmed
toml/decoder.py	_load_date	return None at decoder.py:563 (ValueError from datetime construction)	NULLABLE_RETURN	same union: TomlDateTime | TomlDate | null; Python's ValueError catch becomes explicit component range-validation returning null in the TS constructor path	creation decoder.py:553-562; catch decoder.py:562-563; consumers decoder.py:729, 890-892 treat null as fall-through	confirmed
